~~~~  sas 2017-10-16  ~~~~
Generated on 2018-08-02 13:21:44
Time elapsed: 115.19 s
-1: velocity var 36363.59      width var 7099.50
412: velocity var 70476.55      width var 339.72
    velocity mean 72.38      width mean 21.42
413: velocity var 65425.01      width var 475.06
    velocity mean 102.59      width mean 26.02
414: velocity var 104.27      width var 574.46
    velocity mean 80.28      width mean 27.17
415: velocity var 118.16      width var 80.36
    velocity mean 14.00      width mean 14.88
416: velocity var 294.86      width var 5794.02
    velocity mean 84.21      width mean 54.10
417: velocity var 858.46      width var 889.82
    velocity mean 33.89      width mean 32.75
420: velocity var 409.54      width var 561.22
    velocity mean 34.49      width mean 35.54
421: velocity var 293.30      width var 63.35
    velocity mean 83.00      width mean 21.43
422: velocity var 7498.46      width var 1786.58
    velocity mean 74.35      width mean 51.46
424: velocity var 189638.85      width var 3161.38
    velocity mean 157.43      width mean 86.26
426: velocity var 493.17      width var 1177.88
    velocity mean 61.63      width mean 41.10
429: velocity var 2930.45      width var 17141.15
    velocity mean 64.44      width mean 121.45
433: velocity var 28.68      width var 18.79
    velocity mean 16.25      width mean 6.47
434: velocity var 3.43      width var 18.13
    velocity mean 17.40      width mean 5.55
435: velocity var 417.13      width var 280.14
    velocity mean 52.89      width mean 25.48
436: velocity var 32.86      width var 352.88
    velocity mean 11.40      width mean 24.73
437: velocity var 17.38      width var 269.71
    velocity mean 10.74      width mean 16.98
438: velocity var 14.21      width var 23.68
    velocity mean 5.57      width mean 9.30
439: velocity var 11048.32      width var 170.32
    velocity mean 27.65      width mean 13.02
442: velocity var 20.72      width var 42.64
    velocity mean 12.16      width mean 6.35
443: velocity var 197.33      width var 201.34
    velocity mean 22.35      width mean 20.61
445: velocity var 12.16      width var 54.88
    velocity mean 13.78      width mean 7.98
446: velocity var 31.12      width var 329.98
    velocity mean 10.07      width mean 15.74
447: velocity var 253.17      width var 919.42
    velocity mean 21.61      width mean 33.73
448: velocity var 182.83      width var 201.79
    velocity mean 35.15      width mean 19.39
449: velocity var 22.71      width var 90.66
    velocity mean 9.67      width mean 14.14
450: velocity var 15.80      width var 48.91
    velocity mean 12.83      width mean 12.56
454: velocity var 320.27      width var 97.94
    velocity mean 21.52      width mean 14.60
456: velocity var 619.96      width var 641.46
    velocity mean 24.80      width mean 26.50
457: velocity var 21.08      width var 30.90
    velocity mean 19.75      width mean 12.27
458: velocity var 134.37      width var 323.50
    velocity mean 12.56      width mean 25.10
459: velocity var 302.57      width var 90.39
    velocity mean 19.23      width mean 12.79
460: velocity var 50.19      width var 4.07
    velocity mean 16.45      width mean 7.54
462: velocity var 10.19      width var 367.59
    velocity mean 5.53      width mean 12.88
463: velocity var 7.35      width var 57.65
    velocity mean 3.89      width mean 7.31
464: velocity var 45.24      width var 35.94
    velocity mean 9.59      width mean 8.79
465: velocity var 24.20      width var 1203.51
    velocity mean 8.34      width mean 30.68
466: velocity var 79.43      width var 36.60
    velocity mean 10.52      width mean 10.92
467: velocity var 224.04      width var 625.61
    velocity mean 16.58      width mean 21.57
469: velocity var 101.90      width var 287.03
    velocity mean 18.08      width mean 16.21
470: velocity var 154132.88      width var 378.08
    velocity mean 50.69      width mean 19.43
471: velocity var 8724.80      width var 5709.94
    velocity mean 338.62      width mean 130.78
472: velocity var 18513.21      width var 5017.25
    velocity mean 587.28      width mean 158.29
473: velocity var 83.50      width var 233.40
    velocity mean 22.97      width mean 15.36
474: velocity var 183.71      width var 106.66
    velocity mean 19.13      width mean 13.46
475: velocity var 105.60      width var 1343.09
    velocity mean 14.91      width mean 21.36
477: velocity var 55.77      width var 136.13
    velocity mean 21.13      width mean 10.44
480: velocity var 130.20      width var 249.63
    velocity mean 12.88      width mean 17.20
481: velocity var 14.66      width var 4.97
